bhk,area,locality,price,status1,status2
2,950,,23000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,380,Hinjewadi,17500,Furnished,5 floor
1,686,Bibwewadi,18500," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,800,,14000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1000,Baner,28000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,1385,Karvenagar,15000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,2300,Chakan,10000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1270,Undri,16000,Unfurnished,Ground floor 2 BHK
2,600,Hinjewadi,32000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
1,605,"Shastrinagar, Yerawada",19000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,11100,,17000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,400,Bhosari,14500," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,1300,Mundhwa,19000,Unfurnished,1 floor
1,830,,13500,Unfurnished,3 floor 2 BHK
1,507,,12000,Semi-Furnished,3 floor
3,1200,Kondhwa Budruk,16000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,1208,Hinjewadi Phase 3,25000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,800,Kharadi,19000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,1950,"Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi",25000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,750,Chakan,7000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,610,Magarpatta City,27500," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,500,Narhe,9000,Unfurnished,3 floor
3,1403,"Vishrantwadi, Airport Road",38000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,502,Aundh,18000,Unfurnished,4 floor
3,1000,"Dapodi, Pimpri Chinchwad",25000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,1300,"Panchawati, Pashan",16000,Unfurnished,Ground floor
2,1300,Wagholi,12778," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,500,,7500,Furnished,4 floor
1,1615,,7000,Furnished,4 floor 3 BHK
2,625,"Rahatni, Pimpri Chinchwad",15500," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,850,"Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi",13000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,784,Wagholi,12000,Furnished,5 floor
,1500,,17500," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,2075,Aundh Road,18000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,985,"Wakad, Pimpri Chinchwad",24500," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,714,Kalyani Nagar,19000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
1,1000,Dange Chowk,11000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
